Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,652.650024,666.000000,635.000000,652.450012,652.450012,1973854
2021-10-12,654.000000,662.400024,642.500000,659.049988,659.049988,197252
2021-10-13,665.000000,674.700012,656.000000,672.549988,672.549988,411665
2021-10-14,698.000000,739.799988,695.000000,707.549988,707.549988,1883326
2021-10-18,721.500000,721.500000,702.500000,709.450012,709.450012,520557
2021-10-19,718.000000,729.900024,708.099976,711.650024,711.650024,367115
2021-10-20,712.000000,722.750000,695.650024,701.900024,701.900024,1847962
2021-10-21,707.049988,707.799988,681.849976,695.700012,695.700012,273862
2021-10-22,700.400024,705.549988,678.400024,682.250000,682.250000,156101
2021-10-25,684.400024,684.400024,660.799988,668.000000,668.000000,618135
2021-10-26,670.250000,678.750000,664.799988,668.200012,668.200012,266536
2021-10-27,671.400024,674.500000,664.099976,670.099976,670.099976,103888
